ts,epoch,cam_id,name,cls,box_w,box_h,area_px,aspect,frames,heading,px_per_frame,moving
2026-09-07 00:00:00,1788739171.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,26,16,416,1.625,1,0.0,0.0,false
2026-09-07 00:00:00,1788739171.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,28,19,532,1.474,1,0.0,0.0,false
2026-09-07 00:00:00,1788739173.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,68,68,4624,1.0,1,0.0,0.0,false
2026-09-07 00:00:00,1788739175.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,71,61,4331,1.164,1,0.0,0.0,false
2026-09-07 00:00:00,1788739169.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,103,89,9167,1.157,5,239.9,2.74,false
2026-09-07 00:00:00,1788739177.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,95,17,1615,5.588,1,0.0,0.0,false
2026-09-07 00:00:00,1788739177.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,truck,47,44,2068,1.068,1,0.0,0.0,false
2026-09-07 00:00:00,1788739179.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,truck,78,85,6630,0.918,1,0.0,0.0,false
2026-09-07 00:00:00,1788739179.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,32,21,672,1.524,1,0.0,0.0,false
2026-09-07 00:00:00,1788739163.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,104,90,9360,1.156,11,225.0,2.19,false
2026-09-07 00:00:00,1788739175.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,80,73,5840,1.096,5,75.1,10.22,true
2026-09-07 00:00:00,1788739175.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,46,37,1702,1.243,4,64.5,3.88,false
2026-09-07 00:00:00,1788739175.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,42,69,2898,0.609,3,103.5,6.43,false
2026-09-07 00:00:00,1788739177.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,44,73,3212,0.603,5,180.0,0.12,false
2026-09-07 00:00:00,1788739183.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,64,47,3008,1.362,1,0.0,0.0,false
2026-09-07 00:00:00,1788739183.5,fa287d30-44a9-48ef-90d6-5ab0a54eab15,Flatbush Ave and Atlantic Ave,car,35,31,1085,1.129,2,193.0,13.34,false
